,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Alameda,1512986.0,1530915.0,1553764.0,1579593.0,1607792.0,1634538.0,1650950.0,1660196.0,1666756.0,1671329.0
1,Alpine,1161.0,1093.0,1110.0,1128.0,1080.0,1077.0,1047.0,1111.0,1089.0,1129.0
2,Amador,37886.0,37543.0,37104.0,36620.0,36726.0,37031.0,37429.0,38529.0,39405.0,39752.0
3,Butte,219949.0,219975.0,220869.0,221641.0,223516.0,224631.0,226231.0,228696.0,230339.0,219186.0
4,Calaveras,45468.0,45160.0,44815.0,44655.0,44671.0,44965.0,45322.0,45681.0,45698.0,45905.0
5,Colusa,21437.0,21323.0,21284.0,21250.0,21176.0,21231.0,21496.0,21579.0,21418.0,21547.0
6,Contra Costa,1052540.0,1065440.0,1077548.0,1093401.0,1108876.0,1124405.0,1137268.0,1145535.0,1150519.0,1153526.0
7,Del Norte,28566.0,28443.0,28190.0,27816.0,27175.0,27190.0,27382.0,27351.0,27740.0,27812.0
8,El Dorado,181136.0,180936.0,180575.0,181481.0,183108.0,184569.0,185976.0,188679.0,190746.0,192843.0
9,Fresno,932039.0,939406.0,945045.0,951514.0,960567.0,969488.0,976830.0,985238.0,991950.0,999101.0
10,Glenn,28127.0,28139.0,27851.0,27809.0,27831.0,27753.0,27840.0,27926.0,27967.0,28393.0
11,Humboldt,135009.0,135243.0,134572.0,134403.0,134494.0,135102.0,136290.0,136507.0,136244.0,135558.0
12,Imperial,174716.0,175786.0,176575.0,176438.0,177974.0,178937.0,180179.0,181649.0,181523.0,181215.0
13,Inyo,18511.0,18392.0,18351.0,18357.0,18292.0,18108.0,17922.0,17868.0,17946.0,18039.0
14,Kern,840996.0,847970.0,853606.0,862000.0,869176.0,876031.0,880856.0,887356.0,893758.0,900202.0
15,Kings,152370.0,151868.0,150991.0,150337.0,149495.0,150085.0,149382.0,149665.0,151382.0,152940.0
16,Lake,64735.0,64251.0,63954.0,63796.0,64044.0,64260.0,63903.0,64111.0,64317.0,64386.0
17,Lassen,34831.0,34246.0,33629.0,32129.0,31664.0,31256.0,30721.0,30920.0,30618.0,30573.0
18,Los Angeles,9823246.0,9876482.0,9935375.0,9992484.0,10040072.0,10085416.0,10105708.0,10103711.0,10073906.0,10039107.0
19,Madera,150986.0,151675.0,151527.0,151370.0,153456.0,153576.0,153956.0,155423.0,156882.0,157327.0
20,Marin,252904.0,255376.0,256061.0,258409.0,260359.0,260916.0,260562.0,259749.0,259662.0,258826.0
21,Mariposa,18277.0,18170.0,17881.0,17809.0,17714.0,17622.0,17456.0,17414.0,17405.0,17203.0
22,Mendocino,87799.0,87334.0,87288.0,87054.0,87225.0,87107.0,87285.0,87576.0,87401.0,86749.0
23,Merced,256721.0,259297.0,260867.0,262026.0,264419.0,266353.0,267628.0,271096.0,274151.0,277680.0
24,Modoc,9694.0,9509.0,9351.0,9145.0,9068.0,9056.0,8961.0,8876.0,8800.0,8841.0
