"County_of_Residence","Age","age_cat","bachelors_degree","graduate_degree","high_school_or_GED","less_than_high_school","some_college_credit","edu_unknown","asian","black_african_american","hispanic","multi_race","native_american","other_unknown","pi_native_hawaiian","white","foreign_born","united_states","immigration_unknown","divorced","married","never_married","marital_unknown","widowed","female","male","veteran_no","veteran_unknown","veteran_yes","Description","urban","rural","suburban"
"Alameda","Less than 1 year",1,0,0,0,498,0,0,108,108,139,42,0,36,36,83,18,490,12,0,0,498,0,0,227,267,495,12,0,"urban",1,0,0
"Alameda","1 - 4 years",2,0,0,0,83,0,0,42,30,48,18,0,6,18,42,12,59,0,0,0,59,0,0,48,48,59,0,0,"urban",1,0,0
"Alameda","5 - 9 years",3,0,0,0,80,0,0,36,36,42,18,0,0,0,36,30,48,0,0,0,48,0,0,48,48,48,6,0,"urban",1,0,0
"Alameda","10 - 14 years",4,0,0,0,86,0,0,24,30,48,12,0,6,6,30,24,59,0,0,0,62,0,0,48,42,62,0,0,"urban",1,0,0
"Alameda","15 - 19 years",5,0,10,101,173,80,0,48,82,86,42,0,12,36,54,42,252,0,0,6,291,0,0,79,209,288,6,12,"urban",1,0,0
"Alameda","20 - 24 years",6,84,0,254,105,171,50,73,159,180,48,18,24,18,114,88,468,36,6,36,551,18,6,111,453,555,24,36,"urban",1,0,0
"Alameda","25 - 29 years",7,102,70,260,116,180,30,92,173,190,42,18,30,18,186,129,544,18,30,58,606,18,6,151,530,661,24,42,"urban",1,0,0
"Alameda","30 - 34 years",8,118,81,283,125,209,80,108,205,170,48,24,36,42,231,190,593,30,58,180,546,36,12,229,563,761,18,48,"urban",1,0,0
"Alameda","35 - 39 years",9,119,94,342,160,212,80,131,272,210,48,24,30,48,250,240,666,42,83,253,570,42,12,308,613,901,24,42,"urban",1,0,0
"Alameda","40 - 44 years",10,176,116,381,196,260,80,175,295,259,42,36,24,48,328,346,771,42,154,415,533,36,48,417,723,1108,42,48,"urban",1,0,0
"Alameda","45 - 49 years",11,253,161,602,251,389,82,294,455,337,54,36,36,48,533,523,1137,54,282,654,704,48,48,665,1040,1625,48,53,"urban",1,0,0
"Alameda","50 - 54 years",12,350,178,967,373,631,98,399,685,454,48,42,42,48,929,717,1786,80,532,981,951,48,73,989,1595,2417,48,128,"urban",1,0,0
"Alameda","55 - 59 years",13,519,269,1559,566,982,151,645,1051,622,59,48,48,48,1567,1065,2849,130,894,1583,1291,81,195,1572,2474,3703,61,280,"urban",1,0,0
"Alameda","60 - 64 years",14,814,440,1865,641,1399,235,819,1415,689,65,48,48,53,2273,1327,3851,216,1257,2200,1388,146,400,2116,3277,4823,95,472,"urban",1,0,0
"Alameda","65 - 69 years",15,1010,658,1963,714,1664,279,966,1587,659,64,48,64,48,2872,1534,4514,240,1559,2709,1205,161,651,2561,3727,5308,96,877,"urban",1,0,0
"Alameda","70 - 74 years",16,1264,841,2248,795,1597,227,1159,1457,707,55,42,56,66,3437,1814,4938,220,1680,3111,939,140,1102,3034,3938,5614,88,1258,"urban",1,0,0
"Alameda","75 - 79 years",17,1200,980,2547,1056,1582,195,1384,1387,796,48,48,53,59,3807,2232,5162,166,1524,3354,734,80,1867,3615,3945,6012,83,1465,"urban",1,0,0
"Alameda","80 - 84 years",18,1452,1041,3023,1539,1662,169,1933,1365,875,73,36,66,48,4497,2950,5781,154,1448,3649,529,53,3198,4479,4407,6826,69,1985,"urban",1,0,0
"Alameda","85 - 89 years",19,1589,1161,3544,2003,1801,157,2276,1191,1027,64,48,62,48,5564,3324,6817,117,1274,3258,531,48,5153,5700,4555,7692,55,2508,"urban",1,0,0
"Alameda","90 - 94 years",20,1458,1006,3635,1947,1652,113,2029,1164,814,55,36,48,48,5665,2881,6843,85,899,2112,416,36,6364,6105,3703,7382,48,2383,"urban",1,0,0
