"Year_of_Death","County_of_Residence","Age","education_cat_1_count","education_cat","education_cat_2_count","education_cat_3_count","education_cat_4_count","education_cat_5_count","education_cat_6_count","race_ethnicity_cat_1_count","race_ethnicity_cat","race_ethnicity_cat_2_count","race_ethnicity_cat_3_count","race_ethnicity_cat_4_count","race_ethnicity_cat_5_count","race_ethnicity_cat_6_count","race_ethnicity_cat_7_count","race_ethnicity_cat_8_count","immigration_cat_1_count","immigration_cat","immigration_cat_2_count","immigration_cat_3_count","marital_cat_1_count","marital_cat","marital_cat_2_count","marital_cat_3_count","marital_cat_4_count","marital_cat_5_count","sex_cat_1_count","sex_cat","sex_cat_2_count","veteran_cat_1_count","veteran_cat","veteran_cat_2_count","veteran_cat_3_count","Description"
2015,"Alameda","10 - 14 years",0,6,0,0,10,0,0,0,8,6,6,0,0,0,0,6,0,3,6,0,0,5,0,6,0,0,6,2,6,6,3,0,0,"urban"
2017,"Alameda","85 - 89 years",210,6,174,487,289,255,28,329,8,142,135,6,6,6,6,813,493,3,927,23,187,5,468,77,6,703,805,2,638,1089,3,6,346,"urban"
2017,"Alameda","50 - 54 years",47,6,30,121,50,80,10,52,8,85,72,6,6,6,6,116,92,3,235,6,67,5,141,111,6,13,117,2,220,310,3,6,23,"urban"
2019,"Alameda","55 - 59 years",83,6,32,193,80,131,12,80,8,125,83,6,6,6,6,220,140,3,380,11,117,5,219,169,6,22,199,2,332,485,3,6,40,"urban"
2020,"Alameda","15 - 19 years",0,6,10,18,25,10,0,6,8,15,12,6,0,0,6,12,6,3,43,0,0,5,0,49,0,0,15,2,34,49,3,0,0,"urban"
2015,"Alameda","65 - 69 years",150,6,109,256,94,215,24,143,8,189,82,6,6,6,6,419,215,3,609,24,207,5,398,143,19,81,369,2,479,697,3,12,139,"urban"
2019,"Alameda","25 - 29 years",10,6,10,38,16,28,10,17,8,28,25,6,0,6,0,22,24,3,72,0,0,5,6,86,0,0,14,2,82,95,3,0,6,"urban"
2016,"Alameda","50 - 54 years",52,6,22,132,46,95,14,55,8,94,55,6,6,6,6,143,89,3,259,13,78,5,139,127,6,6,139,2,222,329,3,6,28,"urban"
2020,"Alameda","70 - 74 years",200,6,110,375,114,274,40,209,8,227,114,13,6,6,13,524,309,3,770,34,291,5,469,165,24,164,448,2,665,915,3,18,180,"urban"
2015,"Alameda","90 - 94 years",165,6,123,534,271,225,14,257,8,162,94,6,6,6,6,805,363,3,965,6,117,5,264,47,6,902,867,2,465,995,3,6,333,"urban"
2020,"Alameda","65 - 69 years",153,6,85,289,111,228,51,135,8,220,115,12,6,13,6,410,240,3,634,43,215,5,387,190,29,96,363,2,554,803,3,25,89,"urban"
2017,"Alameda","70 - 74 years",173,6,118,292,99,194,26,153,8,188,80,6,6,6,11,456,253,3,623,26,219,5,413,120,16,134,399,2,503,735,3,11,156,"urban"
2016,"Alameda","85 - 89 years",237,6,149,475,269,237,13,315,8,160,138,11,6,6,6,745,422,3,947,11,176,5,416,74,6,710,754,2,626,1025,3,6,351,"urban"
2014,"Alameda","Less than 1 year",0,6,0,0,76,0,0,13,8,23,20,6,0,6,6,11,6,3,72,6,0,5,0,76,0,0,36,2,40,76,3,0,0,"urban"
2016,"Alameda","Less than 1 year",0,6,0,0,71,0,0,14,8,6,22,6,0,6,6,16,6,3,70,0,0,5,0,71,0,0,37,2,34,71,3,0,0,"urban"
2018,"Alameda","5 - 9 years",0,6,0,0,10,0,0,6,8,0,6,6,0,0,0,6,6,3,6,0,0,5,0,6,0,0,6,2,6,6,3,0,0,"urban"
2019,"Alameda","75 - 79 years",171,6,150,328,127,214,32,167,8,194,115,6,6,11,11,512,266,3,730,26,221,5,454,102,17,228,459,2,563,798,3,16,208,"urban"
2018,"Alameda","30 - 34 years",15,6,10,28,18,23,10,11,8,25,15,6,0,6,6,33,19,3,72,6,6,5,14,72,6,0,26,2,67,90,3,0,6,"urban"
2018,"Alameda","10 - 14 years",0,6,0,0,12,0,0,0,8,6,6,6,0,6,6,6,6,3,11,0,0,5,0,12,0,0,6,2,6,12,3,0,0,"urban"
2016,"Alameda","5 - 9 years",0,6,0,0,10,0,0,0,8,6,6,0,0,0,0,6,6,3,6,0,0,5,0,6,0,0,6,2,6,6,3,6,0,"urban"
2020,"Alameda","80 - 84 years",224,6,157,434,181,258,30,268,8,206,129,6,6,6,6,651,428,3,828,28,232,5,544,80,6,418,633,2,651,1014,3,17,253,"urban"
2019,"Alameda","60 - 64 years",100,6,47,236,85,196,38,108,8,170,103,11,6,6,6,290,185,3,484,33,156,5,271,194,27,54,282,2,420,627,3,18,57,"urban"
2014,"Alameda","20 - 24 years",10,6,0,31,16,33,10,13,8,26,18,6,6,0,0,21,11,3,74,6,0,5,6,83,0,0,19,2,67,85,3,0,6,"urban"
2015,"Alameda","55 - 59 years",86,6,31,233,71,125,21,74,8,143,90,6,6,6,6,243,140,3,409,18,138,5,221,158,15,35,219,2,348,506,3,6,56,"urban"
2019,"Alameda","70 - 74 years",200,6,142,305,98,242,36,154,8,233,108,6,6,6,6,505,251,3,740,32,255,5,457,146,18,147,454,2,569,813,3,16,194,"urban"
2016,"Alameda","80 - 84 years",173,6,127,411,218,194,11,238,8,171,121,18,0,6,6,575,378,3,742,14,175,5,458,73,6,420,603,2,531,850,3,6,279,"urban"
2017,"Alameda","40 - 44 years",24,6,10,45,23,29,10,28,8,35,26,6,6,0,6,36,46,3,86,6,16,5,44,66,6,6,41,2,92,129,3,6,6,"urban"
2014,"Alameda","45 - 49 years",31,6,18,81,29,51,10,38,8,49,38,6,6,6,6,78,64,3,146,6,42,5,83,85,6,6,85,2,131,204,3,6,6,"urban"
2020,"Alameda","Less than 1 year",0,6,0,0,62,0,0,17,8,14,16,6,0,0,6,6,0,3,62,0,0,5,0,62,0,0,27,2,35,62,3,0,0,"urban"
2017,"Alameda","35 - 39 years",10,6,10,46,17,29,10,11,8,38,20,6,0,6,6,31,27,3,76,6,6,5,26,69,6,6,33,2,73,101,3,6,6,"urban"
2016,"Alameda","100 years and over",15,6,10,54,35,23,10,18,8,22,6,0,0,0,0,94,28,3,110,6,6,5,13,6,0,112,104,2,35,121,3,0,18,"urban"
2020,"Alameda","35 - 39 years",12,6,10,67,24,34,10,20,8,50,35,6,6,0,6,39,29,3,118,6,21,5,31,96,6,0,38,2,111,147,3,0,6,"urban"
2014,"Alameda","60 - 64 years",107,6,58,229,85,204,32,104,8,186,64,6,6,6,6,341,155,3,531,29,188,5,291,161,15,60,268,2,446,618,3,14,83,"urban"
2015,"Alameda","35 - 39 years",18,6,14,44,27,33,10,22,8,43,32,6,0,6,6,35,40,3,97,0,13,5,47,76,6,0,55,2,82,136,3,0,6,"urban"
2018,"Alameda","95 - 99 years",95,6,54,236,121,95,10,148,8,74,39,0,6,6,6,344,184,3,421,6,42,5,78,27,0,462,430,2,179,472,3,6,135,"urban"
2020,"Alameda","5 - 9 years",0,6,0,0,10,0,0,6,8,6,6,6,0,0,0,6,0,3,6,0,0,5,0,6,0,0,6,2,6,6,3,0,0,"urban"
2018,"Alameda","100 years and over",17,6,14,57,34,28,10,35,8,18,14,6,0,0,6,84,42,3,109,6,12,5,6,6,6,126,127,2,26,141,3,6,6,"urban"
2017,"Alameda","90 - 94 years",202,6,136,497,286,221,18,278,8,150,119,6,0,6,6,800,398,3,948,14,118,5,259,44,6,937,849,2,511,1008,3,6,345,"urban"
2018,"Alameda","20 - 24 years",10,6,0,33,12,14,10,6,8,22,14,6,6,6,0,14,6,3,52,6,6,5,0,62,0,0,14,2,49,61,3,6,6,"urban"
2020,"Alameda","95 - 99 years",106,6,71,280,165,126,12,189,8,84,75,6,0,6,6,400,254,3,499,6,50,5,95,30,6,584,537,2,223,621,3,6,136,"urban"
2014,"Alameda","80 - 84 years",185,6,113,387,194,207,18,206,8,164,94,11,6,6,6,618,306,3,781,17,157,5,456,61,6,423,519,2,585,783,3,6,314,"urban"
2015,"Alameda","40 - 44 years",23,6,10,48,20,40,10,21,8,41,28,6,0,0,6,44,42,3,96,6,24,5,49,63,6,6,63,2,79,138,3,6,6,"urban"
2015,"Alameda","70 - 74 years",141,6,92,274,98,208,28,134,8,163,74,6,6,6,6,445,205,3,613,23,189,5,388,101,22,141,386,2,455,662,3,6,169,"urban"
2016,"Alameda","10 - 14 years",0,6,0,0,10,0,0,6,8,0,6,0,0,0,0,0,0,3,6,0,0,5,0,6,0,0,6,2,6,6,3,0,0,"urban"
2014,"Alameda","1 - 4 years",0,6,0,0,11,0,0,6,8,6,6,6,0,0,0,6,0,3,11,0,0,5,0,11,0,0,6,2,6,11,3,0,0,"urban"
2019,"Alameda","35 - 39 years",17,6,11,53,18,23,10,16,8,34,26,6,6,0,6,40,26,3,97,6,14,5,26,81,6,6,38,2,87,120,3,0,6,"urban"
2019,"Alameda","5 - 9 years",0,6,0,0,10,0,0,6,8,6,6,6,0,0,0,6,6,3,6,0,0,5,0,6,0,0,6,2,6,6,3,0,0,"urban"
2015,"Alameda","20 - 24 years",10,6,0,36,17,24,10,11,8,26,28,6,0,0,0,15,6,3,72,6,0,5,6,81,0,0,12,2,70,79,3,6,6,"urban"
2014,"Alameda","95 - 99 years",65,6,47,175,120,84,10,91,8,59,33,6,6,6,0,312,122,3,370,6,30,5,59,20,6,389,332,2,167,378,3,6,117,"urban"
2016,"Alameda","95 - 99 years",84,6,70,243,127,109,11,106,8,81,49,6,0,6,6,403,162,3,478,6,45,5,80,24,6,494,443,2,201,503,3,6,140,"urban"
2016,"Alameda","15 - 19 years",0,6,0,11,21,10,0,6,8,12,12,6,0,0,6,6,6,3,33,0,0,5,0,36,0,0,6,2,27,35,3,0,6,"urban"
2017,"Alameda","80 - 84 years",193,6,119,434,221,218,26,284,8,183,104,6,6,6,6,610,435,3,750,26,197,5,492,69,6,446,629,2,582,945,3,11,255,"urban"
2017,"Alameda","75 - 79 years",153,6,120,353,149,199,22,208,8,184,113,6,6,6,6,472,308,3,672,16,190,5,450,91,11,254,498,2,498,788,3,15,193,"urban"
2015,"Alameda","50 - 54 years",49,6,14,144,55,105,12,57,8,98,60,6,6,6,6,144,94,3,272,13,88,5,129,147,6,6,157,2,222,355,3,6,17,"urban"
2017,"Alameda","1 - 4 years",0,6,0,0,10,0,0,6,8,6,6,0,0,0,6,6,0,3,6,0,0,5,0,6,0,0,6,2,6,6,3,0,0,"urban"
2017,"Alameda","Less than 1 year",0,6,0,0,71,0,0,11,8,17,27,6,0,6,6,11,6,3,68,6,0,5,0,71,0,0,32,2,39,71,3,0,0,"urban"
2014,"Alameda","25 - 29 years",13,6,10,37,12,29,0,14,8,24,25,6,0,6,0,30,21,3,73,6,6,5,16,77,6,0,18,2,78,90,3,6,6,"urban"
