"Year_of_Death","County_of_Residence","Age","Marital_Status","Total_Deaths_marital","Description"
2014,"Alameda","40 - 44 years","Unknown",0,"urban"
2014,"Alameda","5 - 9 years","Married (including SRDP)",0,"urban"
2014,"Alameda","Less than 1 year","Unknown",0,"urban"
2014,"Alameda","25 - 29 years","Never Married",77,"urban"
2014,"Alameda","40 - 44 years","Never Married",60,"urban"
2014,"Alameda","20 - 24 years","Married (including SRDP)",6,"urban"
2014,"Alameda","15 - 19 years","Unknown",0,"urban"
2014,"Alameda","40 - 44 years","Widowed",6,"urban"
2014,"Alameda","35 - 39 years","Unknown",6,"urban"
2014,"Alameda","45 - 49 years","Married (including SRDP)",83,"urban"
2014,"Alameda","90 - 94 years","Divorced",99,"urban"
2014,"Alameda","45 - 49 years","Unknown",6,"urban"
2014,"Alameda","50 - 54 years","Never Married",111,"urban"
2014,"Alameda","85 - 89 years","Unknown",6,"urban"
2014,"Alameda","50 - 54 years","Married (including SRDP)",128,"urban"
2014,"Alameda","60 - 64 years","Widowed",60,"urban"
2014,"Alameda","20 - 24 years","Unknown",0,"urban"
2014,"Alameda","55 - 59 years","Married (including SRDP)",230,"urban"
2014,"Alameda","60 - 64 years","Married (including SRDP)",291,"urban"
2014,"Alameda","95 - 99 years","Never Married",20,"urban"
2014,"Alameda","25 - 29 years","Married (including SRDP)",16,"urban"
2014,"Alameda","Less than 1 year","Married (including SRDP)",0,"urban"
2014,"Alameda","20 - 24 years","Widowed",0,"urban"
2014,"Alameda","45 - 49 years","Widowed",6,"urban"
2014,"Alameda","Less than 1 year","Divorced",0,"urban"
2014,"Alameda","90 - 94 years","Unknown",6,"urban"
2014,"Alameda","80 - 84 years","Married (including SRDP)",456,"urban"
2014,"Alameda","35 - 39 years","Divorced",6,"urban"
2014,"Alameda","75 - 79 years","Widowed",261,"urban"
2014,"Alameda","80 - 84 years","Unknown",6,"urban"
2014,"Alameda","35 - 39 years","Married (including SRDP)",38,"urban"
2014,"Alameda","Less than 1 year","Never Married",76,"urban"
2014,"Alameda","70 - 74 years","Divorced",182,"urban"
2014,"Alameda","90 - 94 years","Married (including SRDP)",299,"urban"
2014,"Alameda","30 - 34 years","Unknown",6,"urban"
2014,"Alameda","85 - 89 years","Divorced",162,"urban"
2014,"Alameda","75 - 79 years","Married (including SRDP)",397,"urban"
2014,"Alameda","5 - 9 years","Never Married",6,"urban"
2014,"Alameda","50 - 54 years","Unknown",6,"urban"
2014,"Alameda","85 - 89 years","Widowed",693,"urban"
2014,"Alameda","100 years and over","Divorced",11,"urban"
2014,"Alameda","25 - 29 years","Widowed",0,"urban"
2014,"Alameda","15 - 19 years","Widowed",0,"urban"
2014,"Alameda","90 - 94 years","Widowed",844,"urban"
2014,"Alameda","30 - 34 years","Married (including SRDP)",27,"urban"
2014,"Alameda","75 - 79 years","Divorced",160,"urban"
2014,"Alameda","95 - 99 years","Divorced",30,"urban"
2014,"Alameda","65 - 69 years","Unknown",21,"urban"
2014,"Alameda","85 - 89 years","Never Married",68,"urban"
2014,"Alameda","75 - 79 years","Unknown",6,"urban"
2014,"Alameda","1 - 4 years","Never Married",11,"urban"
2014,"Alameda","55 - 59 years","Never Married",154,"urban"
2014,"Alameda","80 - 84 years","Divorced",157,"urban"
2014,"Alameda","15 - 19 years","Married (including SRDP)",0,"urban"
2014,"Alameda","50 - 54 years","Widowed",14,"urban"
2014,"Alameda","80 - 84 years","Widowed",423,"urban"
2014,"Alameda","5 - 9 years","Unknown",0,"urban"
2014,"Alameda","75 - 79 years","Never Married",83,"urban"
2014,"Alameda","100 years and over","Never Married",6,"urban"
2014,"Alameda","70 - 74 years","Widowed",162,"urban"
2014,"Alameda","45 - 49 years","Never Married",85,"urban"
2014,"Alameda","10 - 14 years","Married (including SRDP)",0,"urban"
2014,"Alameda","35 - 39 years","Never Married",66,"urban"
2014,"Alameda","100 years and over","Married (including SRDP)",6,"urban"
2014,"Alameda","65 - 69 years","Divorced",201,"urban"
2014,"Alameda","65 - 69 years","Married (including SRDP)",379,"urban"
2014,"Alameda","65 - 69 years","Never Married",121,"urban"
2014,"Alameda","10 - 14 years","Never Married",6,"urban"
2014,"Alameda","95 - 99 years","Married (including SRDP)",59,"urban"
2014,"Alameda","30 - 34 years","Never Married",47,"urban"
2014,"Alameda","70 - 74 years","Unknown",18,"urban"
2014,"Alameda","40 - 44 years","Married (including SRDP)",58,"urban"
2014,"Alameda","85 - 89 years","Married (including SRDP)",417,"urban"
2014,"Alameda","60 - 64 years","Unknown",15,"urban"
2014,"Alameda","55 - 59 years","Unknown",12,"urban"
2014,"Alameda","10 - 14 years","Widowed",0,"urban"
2014,"Alameda","30 - 34 years","Widowed",0,"urban"
2014,"Alameda","55 - 59 years","Widowed",38,"urban"
2014,"Alameda","1 - 4 years","Unknown",0,"urban"
2014,"Alameda","70 - 74 years","Married (including SRDP)",350,"urban"
2014,"Alameda","60 - 64 years","Divorced",188,"urban"
2014,"Alameda","15 - 19 years","Divorced",0,"urban"
2014,"Alameda","35 - 39 years","Widowed",0,"urban"
2014,"Alameda","40 - 44 years","Divorced",29,"urban"
2014,"Alameda","45 - 49 years","Divorced",42,"urban"
2014,"Alameda","60 - 64 years","Never Married",161,"urban"
2014,"Alameda","65 - 69 years","Widowed",85,"urban"
2014,"Alameda","20 - 24 years","Divorced",0,"urban"
2014,"Alameda","30 - 34 years","Divorced",6,"urban"
2014,"Alameda","55 - 59 years","Divorced",145,"urban"
2014,"Alameda","1 - 4 years","Widowed",0,"urban"
2014,"Alameda","25 - 29 years","Divorced",6,"urban"
2014,"Alameda","95 - 99 years","Widowed",389,"urban"
2014,"Alameda","1 - 4 years","Divorced",0,"urban"
2014,"Alameda","25 - 29 years","Unknown",6,"urban"
2014,"Alameda","1 - 4 years","Married (including SRDP)",0,"urban"
2014,"Alameda","90 - 94 years","Never Married",45,"urban"
2014,"Alameda","70 - 74 years","Never Married",99,"urban"
2014,"Alameda","20 - 24 years","Never Married",83,"urban"
2014,"Alameda","100 years and over","Unknown",0,"urban"
2014,"Alameda","100 years and over","Widowed",113,"urban"
2014,"Alameda","5 - 9 years","Divorced",0,"urban"
2014,"Alameda","Less than 1 year","Widowed",0,"urban"
2014,"Alameda","5 - 9 years","Widowed",0,"urban"
2014,"Alameda","80 - 84 years","Never Married",61,"urban"
2014,"Alameda","15 - 19 years","Never Married",38,"urban"
2014,"Alameda","50 - 54 years","Divorced",76,"urban"
2014,"Alameda","95 - 99 years","Unknown",6,"urban"
2014,"Alameda","10 - 14 years","Divorced",0,"urban"
2014,"Alameda","10 - 14 years","Unknown",0,"urban"
2019,"Alameda","30 - 34 years","Unknown",0,"urban"
2019,"Alameda","35 - 39 years","Never Married",81,"urban"
2019,"Alameda","70 - 74 years","Married (including SRDP)",457,"urban"
2019,"Alameda","25 - 29 years","Never Married",86,"urban"
2019,"Alameda","1 - 4 years","Unknown",0,"urban"
2019,"Alameda","40 - 44 years","Widowed",6,"urban"
2019,"Alameda","70 - 74 years","Never Married",146,"urban"
2019,"Alameda","1 - 4 years","Married (including SRDP)",0,"urban"
2019,"Alameda","45 - 49 years","Widowed",6,"urban"
2019,"Alameda","40 - 44 years","Never Married",68,"urban"
2019,"Alameda","35 - 39 years","Unknown",6,"urban"
2019,"Alameda","10 - 14 years","Never Married",6,"urban"
2019,"Alameda","45 - 49 years","Never Married",74,"urban"
2019,"Alameda","40 - 44 years","Married (including SRDP)",49,"urban"
2019,"Alameda","25 - 29 years","Widowed",0,"urban"
2019,"Alameda","15 - 19 years","Unknown",0,"urban"
2019,"Alameda","95 - 99 years","Widowed",556,"urban"
2019,"Alameda","95 - 99 years","Married (including SRDP)",85,"urban"
2019,"Alameda","100 years and over","Unknown",0,"urban"
2019,"Alameda","15 - 19 years","Never Married",37,"urban"
2019,"Alameda","100 years and over","Married (including SRDP)",11,"urban"
2019,"Alameda","15 - 19 years","Divorced",0,"urban"
2019,"Alameda","50 - 54 years","Divorced",64,"urban"
2019,"Alameda","50 - 54 years","Widowed",6,"urban"
2019,"Alameda","35 - 39 years","Widowed",6,"urban"
2019,"Alameda","70 - 74 years","Widowed",147,"urban"
2019,"Alameda","80 - 84 years","Never Married",79,"urban"
2019,"Alameda","45 - 49 years","Divorced",34,"urban"
2019,"Alameda","Less than 1 year","Divorced",0,"urban"
2019,"Alameda","15 - 19 years","Married (including SRDP)",0,"urban"
2019,"Alameda","30 - 34 years","Married (including SRDP)",29,"urban"
2019,"Alameda","80 - 84 years","Unknown",6,"urban"
2019,"Alameda","90 - 94 years","Unknown",0,"urban"
2019,"Alameda","25 - 29 years","Unknown",0,"urban"
2019,"Alameda","80 - 84 years","Widowed",430,"urban"
2019,"Alameda","10 - 14 years","Divorced",0,"urban"
2019,"Alameda","65 - 69 years","Never Married",196,"urban"
2019,"Alameda","95 - 99 years","Never Married",22,"urban"
2019,"Alameda","85 - 89 years","Divorced",156,"urban"
2019,"Alameda","5 - 9 years","Never Married",6,"urban"
2019,"Alameda","100 years and over","Widowed",140,"urban"
2019,"Alameda","70 - 74 years","Divorced",255,"urban"
2019,"Alameda","40 - 44 years","Divorced",13,"urban"
2019,"Alameda","100 years and over","Divorced",16,"urban"
2019,"Alameda","65 - 69 years","Widowed",85,"urban"
2019,"Alameda","50 - 54 years","Married (including SRDP)",128,"urban"
2019,"Alameda","50 - 54 years","Never Married",116,"urban"
2019,"Alameda","20 - 24 years","Divorced",0,"urban"
2019,"Alameda","60 - 64 years","Divorced",156,"urban"
2019,"Alameda","1 - 4 years","Divorced",0,"urban"
2019,"Alameda","65 - 69 years","Unknown",19,"urban"
2019,"Alameda","75 - 79 years","Widowed",228,"urban"
2019,"Alameda","55 - 59 years","Widowed",22,"urban"
2019,"Alameda","Less than 1 year","Unknown",0,"urban"
2019,"Alameda","20 - 24 years","Married (including SRDP)",6,"urban"
2019,"Alameda","70 - 74 years","Unknown",18,"urban"
2019,"Alameda","90 - 94 years","Never Married",66,"urban"
2019,"Alameda","95 - 99 years","Unknown",6,"urban"
2019,"Alameda","10 - 14 years","Widowed",0,"urban"
2019,"Alameda","65 - 69 years","Married (including SRDP)",323,"urban"
2019,"Alameda","50 - 54 years","Unknown",6,"urban"
2019,"Alameda","60 - 64 years","Never Married",194,"urban"
2019,"Alameda","55 - 59 years","Never Married",169,"urban"
2019,"Alameda","5 - 9 years","Unknown",0,"urban"
2019,"Alameda","1 - 4 years","Widowed",0,"urban"
2019,"Alameda","35 - 39 years","Divorced",14,"urban"
2019,"Alameda","90 - 94 years","Widowed",816,"urban"
2019,"Alameda","40 - 44 years","Unknown",0,"urban"
2019,"Alameda","95 - 99 years","Divorced",69,"urban"
2019,"Alameda","25 - 29 years","Divorced",0,"urban"
2019,"Alameda","85 - 89 years","Unknown",6,"urban"
2019,"Alameda","Less than 1 year","Never Married",60,"urban"
2019,"Alameda","60 - 64 years","Married (including SRDP)",271,"urban"
2019,"Alameda","55 - 59 years","Divorced",117,"urban"
2019,"Alameda","85 - 89 years","Married (including SRDP)",468,"urban"
2019,"Alameda","20 - 24 years","Unknown",0,"urban"
2019,"Alameda","75 - 79 years","Divorced",221,"urban"
2019,"Alameda","60 - 64 years","Widowed",54,"urban"
2019,"Alameda","90 - 94 years","Married (including SRDP)",299,"urban"
2019,"Alameda","30 - 34 years","Never Married",81,"urban"
2019,"Alameda","35 - 39 years","Married (including SRDP)",26,"urban"
2019,"Alameda","75 - 79 years","Never Married",102,"urban"
2019,"Alameda","45 - 49 years","Married (including SRDP)",89,"urban"
2019,"Alameda","65 - 69 years","Divorced",238,"urban"
2019,"Alameda","5 - 9 years","Divorced",0,"urban"
2019,"Alameda","80 - 84 years","Married (including SRDP)",508,"urban"
2019,"Alameda","Less than 1 year","Widowed",0,"urban"
2019,"Alameda","80 - 84 years","Divorced",211,"urban"
2019,"Alameda","45 - 49 years","Unknown",6,"urban"
2019,"Alameda","85 - 89 years","Never Married",81,"urban"
2019,"Alameda","Less than 1 year","Married (including SRDP)",0,"urban"
2019,"Alameda","5 - 9 years","Married (including SRDP)",0,"urban"
2019,"Alameda","25 - 29 years","Married (including SRDP)",6,"urban"
2019,"Alameda","75 - 79 years","Married (including SRDP)",454,"urban"
2019,"Alameda","1 - 4 years","Never Married",6,"urban"
2019,"Alameda","100 years and over","Never Married",6,"urban"
2019,"Alameda","55 - 59 years","Married (including SRDP)",219,"urban"
2019,"Alameda","75 - 79 years","Unknown",17,"urban"
2019,"Alameda","30 - 34 years","Widowed",0,"urban"
2019,"Alameda","15 - 19 years","Widowed",0,"urban"
2019,"Alameda","10 - 14 years","Unknown",0,"urban"
2019,"Alameda","85 - 89 years","Widowed",652,"urban"
2019,"Alameda","30 - 34 years","Divorced",6,"urban"
