"Year_of_Death","County_of_Residence","Age","Sex","Total_Deaths_sex","Description"
2014,"Alameda","25 - 29 years","Male",78,"urban"
2014,"Alameda","75 - 79 years","Female",472,"urban"
2014,"Alameda","35 - 39 years","Female",47,"urban"
2014,"Alameda","10 - 14 years","Female",6,"urban"
2014,"Alameda","100 years and over","Male",27,"urban"
2014,"Alameda","35 - 39 years","Male",64,"urban"
2014,"Alameda","20 - 24 years","Female",19,"urban"
2014,"Alameda","60 - 64 years","Male",446,"urban"
2014,"Alameda","95 - 99 years","Female",332,"urban"
2014,"Alameda","25 - 29 years","Female",18,"urban"
2014,"Alameda","55 - 59 years","Female",237,"urban"
2014,"Alameda","10 - 14 years","Male",6,"urban"
2014,"Alameda","90 - 94 years","Female",816,"urban"
2014,"Alameda","5 - 9 years","Male",6,"urban"
2014,"Alameda","75 - 79 years","Male",436,"urban"
2014,"Alameda","15 - 19 years","Male",21,"urban"
2014,"Alameda","100 years and over","Female",109,"urban"
2014,"Alameda","15 - 19 years","Female",17,"urban"
2014,"Alameda","65 - 69 years","Male",467,"urban"
2014,"Alameda","80 - 84 years","Male",585,"urban"
2014,"Alameda","40 - 44 years","Female",57,"urban"
2014,"Alameda","80 - 84 years","Female",519,"urban"
2014,"Alameda","70 - 74 years","Female",347,"urban"
2014,"Alameda","50 - 54 years","Female",133,"urban"
2014,"Alameda","20 - 24 years","Male",67,"urban"
2014,"Alameda","1 - 4 years","Male",6,"urban"
2014,"Alameda","50 - 54 years","Male",199,"urban"
2014,"Alameda","55 - 59 years","Male",342,"urban"
2014,"Alameda","Less than 1 year","Male",40,"urban"
2014,"Alameda","5 - 9 years","Female",6,"urban"
2014,"Alameda","45 - 49 years","Female",85,"urban"
2014,"Alameda","90 - 94 years","Male",475,"urban"
2014,"Alameda","85 - 89 years","Male",587,"urban"
2014,"Alameda","30 - 34 years","Male",55,"urban"
2014,"Alameda","65 - 69 years","Female",340,"urban"
2014,"Alameda","40 - 44 years","Male",92,"urban"
2014,"Alameda","85 - 89 years","Female",758,"urban"
2014,"Alameda","1 - 4 years","Female",6,"urban"
2014,"Alameda","95 - 99 years","Male",167,"urban"
2014,"Alameda","60 - 64 years","Female",268,"urban"
2014,"Alameda","30 - 34 years","Female",28,"urban"
2014,"Alameda","Less than 1 year","Female",36,"urban"
2014,"Alameda","70 - 74 years","Male",464,"urban"
2014,"Alameda","45 - 49 years","Male",131,"urban"
2016,"Alameda","90 - 94 years","Female",808,"urban"
2016,"Alameda","70 - 74 years","Male",511,"urban"
2017,"Alameda","1 - 4 years","Female",6,"urban"
2016,"Alameda","60 - 64 years","Female",302,"urban"
2017,"Alameda","55 - 59 years","Male",330,"urban"
2015,"Alameda","45 - 49 years","Female",82,"urban"
2015,"Alameda","95 - 99 years","Male",159,"urban"
2015,"Alameda","80 - 84 years","Male",576,"urban"
2016,"Alameda","95 - 99 years","Male",201,"urban"
2016,"Alameda","75 - 79 years","Female",491,"urban"
2017,"Alameda","65 - 69 years","Male",500,"urban"
2015,"Alameda","15 - 19 years","Female",12,"urban"
2016,"Alameda","5 - 9 years","Male",6,"urban"
2015,"Alameda","55 - 59 years","Female",219,"urban"
2016,"Alameda","100 years and over","Female",104,"urban"
2017,"Alameda","95 - 99 years","Female",474,"urban"
2017,"Alameda","65 - 69 years","Female",352,"urban"
2016,"Alameda","10 - 14 years","Female",6,"urban"
2016,"Alameda","30 - 34 years","Male",79,"urban"
